都道府県,西暦,人口,,,,
大阪府,2020,"8,838,000",,,,
兵庫県,2020,"5,465,000",,,,
奈良県,2020,"1,324,000",,,,
和歌山県,2020,"923,000",,,,
鳥取県,2020,"553,000",,,,
島根県,2020,"671,000",,,,
岡山県,2020,"1,888,000",,,,
広島県,2020,"2,800,000",,,,
山口県,2020,"1,342,000",,,,
徳島県,2020,"720,000",,,,
香川県,2020,"950,000",,,,
愛媛県,2020,"1,335,000",,,,
高知県,2020,"692,000",,,,
福岡県,2020,"5,135,000",,,,
佐賀県,2020,"811,000",,,,
長崎県,2020,"1,312,000",,,,
熊本県,2020,"1,738,000",,,,
大分県,2020,"1,124,000",,,,
宮崎県,2020,"1,070,000",,,,
鹿児島県,2020,"1,588,000",,,,
沖縄県,2020,"1,467,000",,,,
全国,2021,"125,502,000",,,,
北海道,2021,"5,183,000",,,,
青森県,2021,"1,221,000",,,,
岩手県,2021,"1,196,000",,,,
宮城県,2021,"2,290,000",,,,
秋田県,2021,"945,000",,,,
山形県,2021,"1,055,000",,,,
福島県,2021,"1,812,000",,,,
茨城県,2021,"2,852,000",,,,
栃木県,2021,"1,921,000",,,,
群馬県,2021,"1,927,000",,,,
埼玉県,2021,"7,340,000",,,,
千葉県,2021,"6,275,000",,,,
東京都,2021,"14,010,000",,,,
神奈川県,2021,"9,236,000",,,,
新潟県,2021,"2,177,000",,,,
富山県,2021,"1,025,000",,,,
石川県,2021,"1,125,000",,,,
福井県,2021,"760,000",,,,
山梨県,2021,"805,000",,,,
長野県,2021,"2,033,000",,,,
岐阜県,2021,"1,961,000",,,,
静岡県,2021,"3,608,000",,,,
愛知県,2021,"7,517,000",,,,
三重県,2021,"1,756,000",,,,
滋賀県,2021,"1,411,000",,,,
京都府,2021,"2,561,000",,,,
大阪府,2021,"8,806,000",,,,
兵庫県,2021,"5,432,000",,,,
奈良県,2021,"1,315,000",,,,
和歌山県,2021,"914,000",,,,
鳥取県,2021,"549,000",,,,
島根県,2021,"665,000",,,,
岡山県,2021,"1,876,000",,,,
広島県,2021,"2,780,000",,,,
山口県,2021,"1,328,000",,,,
徳島県,2021,"712,000",,,,
香川県,2021,"942,000",,,,
愛媛県,2021,"1,321,000",,,,
高知県,2021,"684,000",,,,
福岡県,2021,"5,124,000",,,,
佐賀県,2021,"806,000",,,,
長崎県,2021,"1,297,000",,,,
熊本県,2021,"1,728,000",,,,
大分県,2021,"1,114,000",,,,
宮崎県,2021,"1,061,000",,,,
鹿児島県,2021,"1,576,000",,,,
沖縄県,2021,"1,468,000",,,,
全国,2022,"124,947,000",,,,
北海道,2022,"5,140,000",,,,
青森県,2022,"1,204,000",,,,
岩手県,2022,"1,181,000",,,,
宮城県,2022,"2,280,000",,,,
秋田県,2022,"930,000",,,,
山形県,2022,"1,041,000",,,,
福島県,2022,"1,790,000",,,,
茨城県,2022,"2,840,000",,,,
栃木県,2022,"1,909,000",,,,
群馬県,2022,"1,913,000",,,,
埼玉県,2022,"7,337,000",,,,
千葉県,2022,"6,266,000",,,,
東京都,2022,"14,038,000",,,,
神奈川県,2022,"9,232,000",,,,
新潟県,2022,"2,153,000",,,,
富山県,2022,"1,017,000",,,,
石川県,2022,"1,118,000",,,,
福井県,2022,"753,000",,,,
山梨県,2022,"802,000",,,,
長野県,2022,"2,020,000",,,,
岐阜県,2022,"1,946,000",,,,
静岡県,2022,"3,582,000",,,,
愛知県,2022,"7,495,000",,,,
三重県,2022,"1,742,000",,,,
滋賀県,2022,"1,409,000",,,,
京都府,2022,"2,550,000",,,,
大阪府,2022,"8,782,000",,,,
兵庫県,2022,"5,402,000",,,,
奈良県,2022,"1,306,000",,,,
和歌山県,2022,"903,000",,,,
鳥取県,2022,"544,000",,,,
島根県,2022,"658,000",,,,
岡山県,2022,"1,862,000",,,,
広島県,2022,"2,760,000",,,,
山口県,2022,"1,313,000",,,,
徳島県,2022,"704,000",,,,
香川県,2022,"934,000",,,,
